provider,run,status,iteration,accepted,coverage,novelty,max_depth,findings,examples,elapsed_s
gemini,15,PASSED (0 iters),0,0.614,0.974,0.272,40574,30,500,154.2
gemini,15,PASSED (0 iters),1,0.56,1.0,0.29,49985,32,500,180.7
gemini,15,PASSED (0 iters),2,0.292,1.0,0.346,49985,30,500,250.6
gemini,15,PASSED (0 iters),3,0.256,1.0,0.302,49985,32,500,234.3
gemini,15,PASSED (0 iters),4,0.24,1.0,0.3,49985,34,500,179.0
gemini,16,PASSED (5 iters),0,0.41,0.868,0.398,51429,33,500,583.2
gemini,16,PASSED (5 iters),1,0.464,0.947,0.386,51429,29,500,116.6
gemini,16,PASSED (5 iters),2,0.448,1.0,0.452,51429,26,500,151.9
gemini,16,PASSED (5 iters),3,0.598,1.0,0.42,51429,25,500,179.8
gemini,16,PASSED (5 iters),4,0.5,1.0,0.444,51429,35,500,121.3
gemini,17,PASSED (5 iters),0,0.276,0.658,0.432,34840,33,500,202.9
gemini,17,PASSED (5 iters),1,0.42,0.947,0.368,35000,32,500,170.8
gemini,17,PASSED (5 iters),2,0.444,0.974,0.358,35000,25,500,246.2
gemini,17,PASSED (5 iters),3,0.234,1.0,0.358,35000,29,500,291.1
gemini,17,PASSED (5 iters),4,0.178,1.0,0.354,51935,90,500,424.1
gemini,19,STOPPED/FAILED (2 iters),0,0.594,0.974,0.38,295,0,500,198.5
gemini,19,STOPPED/FAILED (2 iters),1,0.616,1.0,0.364,300,0,500,521.0
gemini,20,PASSED (5 iters),0,0.774,0.947,0.412,30000,15,500,117.9
gemini,20,PASSED (5 iters),1,0.804,1.0,0.45,30000,11,500,196.8
gemini,20,PASSED (5 iters),2,0.86,1.0,0.464,30000,15,500,115.6
gemini,20,PASSED (5 iters),3,0.96,1.0,0.404,40000,10,500,293.9
gemini,20,PASSED (5 iters),4,0.798,1.0,0.374,48626,53,500,164.9
gemini,21,PASSED (5 iters),0,0.618,0.895,0.358,49689,20,500,142.3
gemini,21,PASSED (5 iters),1,0.596,1.0,0.322,49689,21,500,96.3
gemini,21,PASSED (5 iters),2,0.356,1.0,0.35,49689,17,500,90.2
gemini,21,PASSED (5 iters),3,0.376,1.0,0.326,49999,34,500,126.8
gemini,21,PASSED (5 iters),4,0.246,1.0,0.302,49999,61,500,150.1
gemini,24,PASSED (5 iters),0,0.31,0.789,0.386,47035,45,500,199.1
gemini,24,PASSED (5 iters),1,0.332,0.974,0.376,48811,33,500,178.5
gemini,24,PASSED (5 iters),2,0.31,1.0,0.394,50000,26,500,123.8
gemini,24,PASSED (5 iters),3,0.42,1.0,0.438,50000,17,500,102.6
gemini,24,PASSED (5 iters),4,0.286,1.0,0.328,51703,97,500,366.2
