provider,run,status,iteration,accepted,breadth,novelty,max_depth,findings,examples,elapsed_s
groq,1,PASSED (5 iters),0,0.342,0.553,0.334,4,0,500,63.6
groq,1,PASSED (5 iters),1,0.37,0.632,0.248,4,0,500,35.8
groq,1,PASSED (5 iters),2,0.328,0.737,0.228,5,0,500,41.9
groq,1,PASSED (5 iters),3,0.388,0.842,0.28,5,0,500,40.3
groq,1,PASSED (5 iters),4,0.392,0.842,0.232,5,0,500,44.8
groq,2,unknown,0,0.386,0.526,0.338,2,0,500,21.8
groq,2,unknown,1,0.308,0.579,0.188,2,0,500,80.3
groq,2,unknown,2,0.274,0.632,0.178,2,0,500,78.2
groq,2,unknown,3,0.376,0.711,0.2,3,0,500,85.5
groq,3,PASSED (5 iters),0,0.358,0.632,0.348,4,0,500,33.0
groq,3,PASSED (5 iters),1,0.302,0.737,0.222,4,0,500,37.8
groq,3,PASSED (5 iters),2,0.264,0.842,0.148,4,0,500,52.0
groq,3,PASSED (5 iters),3,0.224,0.842,0.25,4,0,500,60.4
groq,3,PASSED (5 iters),4,0.204,0.868,0.208,4,0,500,85.8
groq,4,STOPPED/FAILED (3 iters),0,0.392,0.553,0.348,3,0,500,22.2
groq,4,STOPPED/FAILED (3 iters),1,0.396,0.684,0.216,3,0,500,45.1
groq,4,STOPPED/FAILED (3 iters),2,0.35,0.842,0.206,3,0,500,44.4
groq,5,PASSED (2 iters),3,0.396,0.868,0.198,3,0,500,65.5
groq,5,PASSED (2 iters),4,0.416,0.895,0.19,3,0,500,64.8
groq,6,PASSED (5 iters),0,0.47,0.474,0.282,3,0,500,60.5
groq,6,PASSED (5 iters),1,0.468,0.5,0.2,3,0,500,76.2
groq,6,PASSED (5 iters),2,0.424,0.526,0.124,3,0,500,81.6
groq,6,PASSED (5 iters),3,0.42,0.553,0.13,4,0,500,62.5
groq,6,PASSED (5 iters),4,0.072,0.553,0.054,4,0,500,45.3
groq,7,PASSED (5 iters),0,0.122,0.526,0.396,2,0,500,158.7
groq,7,PASSED (5 iters),1,0.152,0.553,0.332,2,0,500,48.7
groq,7,PASSED (5 iters),2,0.118,0.553,0.332,2,0,500,91.4
groq,7,PASSED (5 iters),3,0.134,0.553,0.228,4,0,500,135.7
groq,7,PASSED (5 iters),4,0.226,0.579,0.378,4,0,500,1760.7
groq,8,PASSED (5 iters),0,0.502,0.342,0.192,1,0,500,147.4
groq,8,PASSED (5 iters),1,0.492,0.342,0.082,1,0,500,132.8
groq,8,PASSED (5 iters),2,0.516,0.447,0.05,3,0,500,50.2
groq,8,PASSED (5 iters),3,0.526,0.526,0.204,3,0,500,49.4
groq,8,PASSED (5 iters),4,0.402,0.605,0.166,3,0,500,52.0
groq,9,PASSED (5 iters),0,0.322,0.553,0.368,4999,0,500,40.1
groq,9,PASSED (5 iters),1,0.374,0.684,0.312,4999,0,500,102.7
groq,9,PASSED (5 iters),2,0.458,0.763,0.214,5000,0,500,48.6
groq,9,PASSED (5 iters),3,0.402,0.842,0.222,5000,0,500,55.3
groq,9,PASSED (5 iters),4,0.422,0.842,0.204,5000,0,500,53.8
groq,10,PASSED (0 iters),0,0.552,0.605,0.32,40138,51,500,44.7
groq,10,PASSED (0 iters),1,0.528,0.658,0.264,51462,66,500,49.2
groq,10,PASSED (0 iters),2,0.544,0.789,0.212,52029,74,500,50.9
groq,10,PASSED (0 iters),3,0.548,0.789,0.212,52029,78,500,63.3
groq,10,PASSED (0 iters),4,0.748,0.816,0.096,52029,49,500,38.5
groq,12,PASSED (1 iters),0,0.594,0.553,0.234,49599,22,500,234.0
groq,12,PASSED (1 iters),1,0.54,0.632,0.212,49599,27,500,126.3
groq,12,PASSED (1 iters),2,0.526,0.711,0.216,49599,32,500,142.5
groq,12,PASSED (1 iters),3,0.184,0.737,0.254,49599,40,500,103.0
groq,12,PASSED (1 iters),4,0.518,0.737,0.232,49599,58,500,83.9
